[40947]: 5321ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:165 [0000024A1F8F9AC0] m_bytesTransited = 3200, unacknowledgedAudioDuration = 0 msec, packetAudioDelay = 0 msec
[40947]: 5422ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:534 Received audio chunk: time: 2025-08-29T13:16:41.8522758Z, size:3200.
[40947]: 5422ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:548 CSpxAudioStreamSession::ProcessAudio: Non-acknowledged size = 0 bytes (0 msec)
[40947]: 5422ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:165 [0000024A1F8F9AC0] m_bytesTransited = 6400, unacknowledgedAudioDuration = 0 msec, packetAudioDelay = 0 msec
[40947]: 5522ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:534 Received audio chunk: time: 2025-08-29T13:16:41.9519819Z, size:3200.
[40947]: 5522ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:548 CSpxAudioStreamSession::ProcessAudio: Non-acknowledged size = 0 bytes (0 msec)
[40947]: 5522ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:165 [0000024A1F8F9AC0] m_bytesTransited = 9600, unacknowledgedAudioDuration = 0 msec, packetAudioDelay = 0 msec
[915488]: 5531ms SPX_TRACE_SCOPE_EXIT:  uws_web_socket.cpp:149 WebSocketAdapter::UwsWebSocket::Open
[915488]: 5531ms SPX_TRACE_INFO:  usp_connection.cpp:775 Create requestId  for messageType 0
[40947]: 5622ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:534 Received audio chunk: time: 2025-08-29T13:16:42.0520558Z, size:3200.
[40947]: 5622ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:548 CSpxAudioStreamSession::ProcessAudio: Non-acknowledged size = 0 bytes (0 msec)
[40947]: 5622ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:165 [0000024A1F8F9AC0] m_bytesTransited = 12800, unacknowledgedAudioDuration = 0 msec, packetAudioDelay = 0 msec
[40947]: 5721ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:534 Received audio chunk: time: 2025-08-29T13:16:42.1515317Z, size:3200.
[40947]: 5721ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:548 CSpxAudioStreamSession::ProcessAudio: Non-acknowledged size = 0 bytes (0 msec)
[40947]: 5721ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:165 [0000024A1F8F9AC0] m_bytesTransited = 16000, unacknowledgedAudioDuration = 0 msec, packetAudioDelay = 0 msec
[40947]: 5822ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:534 Received audio chunk: time: 2025-08-29T13:16:42.2518004Z, size:3200.
[40947]: 5822ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:548 CSpxAudioStreamSession::ProcessAudio: Non-acknowledged size = 0 bytes (0 msec)
